Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|Q91Z38|TTC1_MOUSE	Q91Z38	TTC1_MOUSE	Ttc1	292	Mus musculus	Tetratricopeptide repeat protein 1	1:Experimental evidence at protein level	6.16	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q91Z53|GRHPR_MOUSE	Q91Z53	GRHPR_MOUSE	Grhpr	328	Mus musculus	Glyoxylate reductase/hydroxypyruvate reductase	1:Experimental evidence at protein level	36.59	1.0000	0.9990	9	3	9	18	4	18	     0	     0	     0	14C(57.0214), 2C(57.0214), 3M(15.9949), 9C(57.0214)		
sp|Q91Z83|MYH7_MOUSE	Q91Z83	MYH7_MOUSE	Myh7	1935	Mus musculus	Myosin-7	2:Experimental evidence at transcript level	21.81	1.0000	0.9990	52	4	9	155	6	12	     0	     0	     0			
sp|Q91ZA3|PCCA_MOUSE	Q91ZA3	PCCA_MOUSE	Pcca	724	Mus musculus	Propionyl-CoA carboxylase alpha chain, mitochondrial	1:Experimental evidence at protein level	26.80	1.0000	0.9990	14	8	14	14	8	14	     0	     0	     0	10C(57.0214), 7C(57.0214)		
sp|Q91ZJ5|UGPA_MOUSE	Q91ZJ5	UGPA_MOUSE	Ugp2	508	Mus musculus	UTP--glucose-1-phosphate uridylyltransferase	1:Experimental evidence at protein level	62.99	1.0000	0.9990	31	2	31	113	11	113	     0	     0	     0	10M(15.9949), 11C(57.0214), 11M(15.9949), 1C(57.0214), 22M(15.9949), 2C(57.0214), 2M(15.9949), 9M(15.9949)		
sp|Q91ZX7|LRP1_MOUSE	Q91ZX7	LRP1_MOUSE	Lrp1	4545	Mus musculus	Prolow-density lipoprotein receptor-related protein 1	1:Experimental evidence at protein level	0.26	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0	4C(57.0214), 8C(57.0214)		tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE
sp|Q920Q6-2|MSI2H_MOUSE	Q920Q6-2	MSI2H_MOUSE	Msi2	328	Mus musculus	Isoform 2 of RNA-binding protein Musashi homolog 2		9.45	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			sp|Q920Q6-3|MSI2H_MOUSE, sp|Q920Q6|MSI2H_MOUSE
sp|Q921F2|TADBP_MOUSE	Q921F2	TADBP_MOUSE	Tardbp	414	Mus musculus	TAR DNA-binding protein 43	1:Experimental evidence at protein level	18.12	1.0000	0.9990	4	0	4	4	0	4	     0	     0	     0	33C(57.0214)		
sp|Q921G7|ETFD_MOUSE	Q921G7	ETFD_MOUSE	Etfdh	616	Mus musculus	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	1:Experimental evidence at protein level	28.90	1.0000	0.9990	14	0	14	21	0	21	     0	     0	     0	11C(57.0214), 13C(57.0214), 2C(57.0214), 3C(57.0214), 8C(57.0214)		
sp|Q921H8|THIKA_MOUSE	Q921H8	THIKA_MOUSE	Acaa1a	424	Mus musculus	3-ketoacyl-CoA thiolase A, peroxisomal	1:Experimental evidence at protein level	12.26	1.0000	0.9990	3	0	3	5	0	5	     0	     0	     0			
sp|Q921H9|COA7_MOUSE	Q921H9	COA7_MOUSE	Coa7	231	Mus musculus	Cytochrome c oxidase assembly factor 7	1:Experimental evidence at protein level	4.33	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|Q921I1|TRFE_MOUSE	Q921I1	TRFE_MOUSE	Tf	697	Mus musculus	Serotransferrin	1:Experimental evidence at protein level	55.24	1.0000	0.9990	33	9	33	68	23	68	     0	     0	     0	10C(57.0214), 10M(15.9949), 12C(57.0214), 13C(57.0214), 15C(57.0214), 20C(57.0214), 2C(57.0214), 3C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|Q921M7|CYRIB_MOUSE	Q921M7	CYRIB_MOUSE	Cyrib	324	Mus musculus	CYFIP-related Rac1 interactor B	1:Experimental evidence at protein level	5.86	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q921T2-2|TOIP1_MOUSE	Q921T2-2	TOIP1_MOUSE	Tor1aip1	576	Mus musculus	Isoform 2 of Torsin-1A-interacting protein 1		2.08	1.0000	0.9977	1	0	1	1	0	1	     0	     0	     0			sp|Q921T2-3|TOIP1_MOUSE, sp|Q921T2|TOIP1_MOUSE
sp|Q922B1|MACD1_MOUSE	Q922B1	MACD1_MOUSE	Macrod1	323	Mus musculus	ADP-ribose glycohydrolase MACROD1	1:Experimental evidence at protein level	35.91	1.0000	0.9990	9	9	9	15	15	15	     0	     0	     0	10C(57.0214), 23C(57.0214), 2C(57.0214), 5C(57.0214), 8C(57.0214)		
sp|Q922B2|SYDC_MOUSE	Q922B2	SYDC_MOUSE	Dars1	501	Mus musculus	Aspartate--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	18.16	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	3C(57.0214), 4C(57.0214), 6C(57.0214)		
sp|Q922D8|C1TC_MOUSE	Q922D8	C1TC_MOUSE	Mthfd1	935	Mus musculus	C-1-tetrahydrofolate synthase, cytoplasmic	1:Experimental evidence at protein level	2.35	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q922F4|TBB6_MOUSE	Q922F4	TBB6_MOUSE	Tubb6	447	Mus musculus	Tubulin beta-6 chain	1:Experimental evidence at protein level	24.38	1.0000	0.9990	11	0	0	36	0	0	     0	     0	     0			
sp|Q922U2|K2C5_MOUSE	Q922U2	K2C5_MOUSE	Krt5	580	Mus musculus	Keratin, type II cytoskeletal 5	1:Experimental evidence at protein level	29.83	1.0000	0.9990	32	12	16	111	33	40	     0	     0	     0	10M(15.9949), 11M(15.9949), 5M(15.9949), 6M(15.9949), 8M(15.9949), 9M(15.9949)		
sp|Q923D2|BLVRB_MOUSE	Q923D2	BLVRB_MOUSE	Blvrb	206	Mus musculus	Flavin reductase (NADPH)	1:Experimental evidence at protein level	52.91	1.0000	0.9990	7	0	7	9	0	9	     0	     0	     0	4C(57.0214)		
sp|Q923T9-2|KCC2G_MOUSE	Q923T9-2	KCC2G_MOUSE	Camk2g	518	Mus musculus	Isoform 2 of Calcium/calmodulin-dependent protein kinase type II subunit gamma		23.94	1.0000	0.9990	9	0	7	9	0	7	     0	     0	     0	2C(57.0214), 6C(57.0214), 8C(57.0214)		sp|Q923T9-3|KCC2G_MOUSE, sp|Q923T9|KCC2G_MOUSE, tr|A0A2I3BQP6|A0A2I3BQP6_MOUSE
sp|Q924D0|RT4I1_MOUSE	Q924D0	RT4I1_MOUSE	Rtn4ip1	396	Mus musculus	Reticulon-4-interacting protein 1, mitochondrial	1:Experimental evidence at protein level	21.72	1.0000	0.9990	5	0	5	8	0	8	     0	     0	     0			tr|A0A0R4J0S3|A0A0R4J0S3_MOUSE
sp|Q924M7|MPI_MOUSE	Q924M7	MPI_MOUSE	Mpi	423	Mus musculus	Mannose-6-phosphate isomerase	1:Experimental evidence at protein level	19.86	1.0000	0.9990	6	3	6	6	3	6	     0	     0	     0	12C(57.0214), 3C(57.0214), 6C(57.0214), 9C(57.0214)		
sp|Q924T2|RT02_MOUSE	Q924T2	RT02_MOUSE	Mrps2	291	Mus musculus	28S ribosomal protein S2, mitochondrial	1:Experimental evidence at protein level	12.37	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|Q925F2|ESAM_MOUSE	Q925F2	ESAM_MOUSE	Esam	394	Mus musculus	Endothelial cell-selective adhesion molecule	1:Experimental evidence at protein level	11.93	1.0000	0.9990	3	1	3	3	1	3	     0	     0	     0			
sp|Q925I1|ATAD3_MOUSE	Q925I1	ATAD3_MOUSE	Atad3	591	Mus musculus	ATPase family AAA domain-containing protein 3	1:Experimental evidence at protein level	5.25	1.0000	0.9989	3	0	3	4	0	4	     0	     0	     0			
sp|Q92764|KRT35_HUMAN	Q92764	KRT35_HUMAN	KRT35	455	Homo sapiens	Keratin, type I cuticular Ha5	1:Experimental evidence at protein level	1.54	1.0000	0.9990	1	0	0	6	0	0	     0	     0	     0			
sp|Q93092-2|TALDO_MOUSE	Q93092-2	TALDO_MOUSE	Taldo1	327	Mus musculus	Isoform 2 of Transaldolase		33.33	1.0000	0.9990	12	0	12	15	0	15	     0	     0	     0	1M(15.9949), 5C(57.0214)		sp|Q93092|TALDO_MOUSE, tr|A0A1B0GR11|A0A1B0GR11_MOUSE
sp|Q99020|ROAA_MOUSE	Q99020	ROAA_MOUSE	Hnrnpab	285	Mus musculus	Heterogeneous nuclear ribonucleoprotein A/B	1:Experimental evidence at protein level	28.42	1.0000	0.9990	7	0	6	11	0	9	     0	     0	     0			
sp|Q99J09|MEP50_MOUSE	Q99J09	MEP50_MOUSE	Wdr77	342	Mus musculus	Methylosome protein 50	1:Experimental evidence at protein level	4.97	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0	4C(57.0214)		tr|F7D5L2|F7D5L2_MOUSE
sp|Q99J77|SIAS_MOUSE	Q99J77	SIAS_MOUSE	Nans	359	Mus musculus	Sialic acid synthase	1:Experimental evidence at protein level	11.42	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	7C(57.0214)		
sp|Q99J99|THTM_MOUSE	Q99J99	THTM_MOUSE	Mpst	297	Mus musculus	3-mercaptopyruvate sulfurtransferase	1:Experimental evidence at protein level	36.03	1.0000	0.9990	7	2	7	13	3	13	     0	     0	     0			
sp|Q99JB2|STML2_MOUSE	Q99JB2	STML2_MOUSE	Stoml2	353	Mus musculus	Stomatin-like protein 2, mitochondrial	1:Experimental evidence at protein level	19.26	1.0000	0.9990	5	2	5	6	2	6	     0	     0	     0			
sp|Q99JB8|PACN3_MOUSE	Q99JB8	PACN3_MOUSE	Pacsin3	424	Mus musculus	Protein kinase C and casein kinase II substrate protein 3	1:Experimental evidence at protein level	40.80	1.0000	0.9990	13	6	13	19	10	19	     0	     0	     0	10C(57.0214), 12C(57.0214), 1M(15.9949), 2C(57.0214), 8C(57.0214)		
sp|Q99JI4|PSMD6_MOUSE	Q99JI4	PSMD6_MOUSE	Psmd6	389	Mus musculus	26S proteasome non-ATPase regulatory subunit 6	1:Experimental evidence at protein level	2.83	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q99JI6|RAP1B_MOUSE	Q99JI6	RAP1B_MOUSE	Rap1b	184	Mus musculus	Ras-related protein Rap-1b	1:Experimental evidence at protein level	39.67	1.0000	0.9990	6	1	2	7	1	2	     0	     0	     0	5C(57.0214)		
sp|Q99JR6|NMNA3_MOUSE	Q99JR6	NMNA3_MOUSE	Nmnat3	245	Mus musculus	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3	1:Experimental evidence at protein level	6.94	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q99JX3|GORS2_MOUSE	Q99JX3	GORS2_MOUSE	Gorasp2	451	Mus musculus	Golgi reassembly-stacking protein 2	1:Experimental evidence at protein level	6.21	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	11C(57.0214)		tr|A2ATI9|A2ATI9_MOUSE
sp|Q99JX4|EIF3M_MOUSE	Q99JX4	EIF3M_MOUSE	Eif3m	374	Mus musculus	Eukaryotic translation initiation factor 3 subunit M	1:Experimental evidence at protein level	5.08	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0	5C(57.0214)		
sp|Q99JY0|ECHB_MOUSE	Q99JY0	ECHB_MOUSE	Hadhb	475	Mus musculus	Trifunctional enzyme subunit beta, mitochondrial	1:Experimental evidence at protein level	59.37	1.0000	0.9990	28	21	28	96	72	96	     0	     0	     0	11C(57.0214), 12C(57.0214), 12M(15.9949), 19C(57.0214), 1M(15.9949), 20M(15.9949), 27M(15.9949), 2M(15.9949), 30M(15.9949), 3M(15.9949), 4M(15.9949)		
sp|Q99JY9|ARP3_MOUSE	Q99JY9	ARP3_MOUSE	Actr3	418	Mus musculus	Actin-related protein 3	1:Experimental evidence at protein level	16.51	1.0000	0.9990	4	1	4	4	1	4	     0	     0	     0	28C(57.0214), 5C(57.0214)		
sp|Q99K28-2|ARFG2_MOUSE	Q99K28-2	ARFG2_MOUSE	Arfgap2	534	Mus musculus	Isoform 2 of ADP-ribosylation factor GTPase-activating protein 2		5.62	1.0000	0.9990	3	0	3	3	0	3	     0	     0	     0			sp|Q99K28|ARFG2_MOUSE
sp|Q99K51|PLST_MOUSE	Q99K51	PLST_MOUSE	Pls3	630	Mus musculus	Plastin-3	1:Experimental evidence at protein level	2.06	1.0000	0.9990	1	0	0	2	0	0	     0	     0	     0			tr|A0A1C7CYV0|A0A1C7CYV0_MOUSE, tr|B1AX58|B1AX58_MOUSE
sp|Q99KB8-2|GLO2_MOUSE	Q99KB8-2	GLO2_MOUSE	Hagh	260	Mus musculus	Isoform 2 of Hydroxyacylglutathione hydrolase, mitochondrial		37.69	1.0000	0.9990	7	0	7	12	0	12	     0	     0	     0	15M(15.9949), 3C(57.0214)		sp|Q99KB8|GLO2_MOUSE, tr|A0A0R4J052|A0A0R4J052_MOUSE, tr|G5E8T9|G5E8T9_MOUSE
sp|Q99KF1|TMED9_MOUSE	Q99KF1	TMED9_MOUSE	Tmed9	235	Mus musculus	Transmembrane emp24 domain-containing protein 9	1:Experimental evidence at protein level	11.49	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0	1C(57.0214)		
sp|Q99KI0|ACON_MOUSE	Q99KI0	ACON_MOUSE	Aco2	780	Mus musculus	Aconitate hydratase, mitochondrial	1:Experimental evidence at protein level	62.05	1.0000	0.9990	41	33	41	142	115	142	     0	     0	     0	10M(15.9949), 11C(57.0214), 12M(15.9949), 14C(57.0214), 15M(15.9949), 19C(57.0214), 1C(57.0214), 26C(57.0214), 3M(15.9949), 7C(57.0214), 9C(57.0214)		
sp|Q99KJ8|DCTN2_MOUSE	Q99KJ8	DCTN2_MOUSE	Dctn2	402	Mus musculus	Dynactin subunit 2	1:Experimental evidence at protein level	50.25	1.0000	0.9990	16	16	16	25	25	25	     0	     0	     0	13M(15.9949)		
sp|Q99KK7|DPP3_MOUSE	Q99KK7	DPP3_MOUSE	Dpp3	738	Mus musculus	Dipeptidyl peptidase 3	1:Experimental evidence at protein level	6.50	1.0000	0.9990	3	1	3	3	1	3	     0	     0	     0	16C(57.0214)		
sp|Q99KQ4|NAMPT_MOUSE	Q99KQ4	NAMPT_MOUSE	Nampt	491	Mus musculus	Nicotinamide phosphoribosyltransferase	1:Experimental evidence at protein level	42.57	1.0000	0.9990	17	17	17	20	20	20	     0	     0	     0	7C(57.0214)		
sp|Q99KR3|LACB2_MOUSE	Q99KR3	LACB2_MOUSE	Lactb2	288	Mus musculus	Endoribonuclease LACTB2	1:Experimental evidence at protein level	19.10	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	16C(57.0214), 9C(57.0214)		
sp|Q99KR7|PPIF_MOUSE	Q99KR7	PPIF_MOUSE	Ppif	206	Mus musculus	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1:Experimental evidence at protein level	20.87	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	24C(57.0214)		
sp|Q99KV1|DJB11_MOUSE	Q99KV1	DJB11_MOUSE	Dnajb11	358	Mus musculus	DnaJ homolog subfamily B member 11	1:Experimental evidence at protein level	12.85	1.0000	0.9990	3	2	3	3	2	3	     0	     0	     0	12C(57.0214), 9C(57.0214)		
sp|Q99L13|3HIDH_MOUSE	Q99L13	3HIDH_MOUSE	Hibadh	335	Mus musculus	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1:Experimental evidence at protein level	44.78	1.0000	0.9990	11	11	11	24	24	24	     0	     0	     0	11M(15.9949), 15C(57.0214), 15M(15.9949), 1M(15.9949), 6M(15.9949)		
sp|Q99L45|IF2B_MOUSE	Q99L45	IF2B_MOUSE	Eif2s2	331	Mus musculus	Eukaryotic translation initiation factor 2 subunit 2	1:Experimental evidence at protein level	2.72	1.0000	0.9987	1	1	1	1	1	1	     0	     0	     0			
sp|Q99L47|F10A1_MOUSE	Q99L47	F10A1_MOUSE	St13	371	Mus musculus	Hsc70-interacting protein	1:Experimental evidence at protein level	25.61	1.0000	0.9990	9	0	9	17	0	17	     0	     0	     0	10M(15.9949), 16C(57.0214)		tr|F8WJK8|F8WJK8_MOUSE
sp|Q99L88|SNTB1_MOUSE	Q99L88	SNTB1_MOUSE	Sntb1	537	Mus musculus	Beta-1-syntrophin	1:Experimental evidence at protein level	1.12	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|Q99LB2|DHRS4_MOUSE	Q99LB2	DHRS4_MOUSE	Dhrs4	279	Mus musculus	Dehydrogenase/reductase SDR family member 4	1:Experimental evidence at protein level	25.45	1.0000	0.9990	6	0	6	9	0	9	     0	     0	     0	17C(57.0214), 3C(57.0214)		
sp|Q99LC3|NDUAA_MOUSE	Q99LC3	NDUAA_MOUSE	Ndufa10	355	Mus musculus	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	1:Experimental evidence at protein level	67.89	1.0000	0.9990	19	15	19	35	27	35	     0	     0	     0	28C(57.0214), 2C(57.0214), 3C(57.0214), 5C(57.0214), 8M(15.9949), 9C(57.0214)		
sp|Q99LC5|ETFA_MOUSE	Q99LC5	ETFA_MOUSE	Etfa	333	Mus musculus	Electron transfer flavoprotein subunit alpha, mitochondrial	1:Experimental evidence at protein level	55.26	1.0000	0.9990	15	15	15	74	74	74	     0	     0	     0	12M(15.9949), 5M(15.9949), 6C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|Q99LD4|CSN1_MOUSE	Q99LD4	CSN1_MOUSE	Gps1	471	Mus musculus	COP9 signalosome complex subunit 1	1:Experimental evidence at protein level	28.45	1.0000	0.9990	10	0	10	11	0	11	     0	     0	     0			tr|G3UXW9|G3UXW9_MOUSE, tr|Q3MIA8|Q3MIA8_MOUSE
sp|Q99LD8|DDAH2_MOUSE	Q99LD8	DDAH2_MOUSE	Ddah2	285	Mus musculus	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2	1:Experimental evidence at protein level	15.79	1.0000	0.9990	3	1	3	3	1	3	     0	     0	     0			
sp|Q99LM3|SMTL1_MOUSE	Q99LM3	SMTL1_MOUSE	Smtnl1	459	Mus musculus	Smoothelin-like protein 1	1:Experimental evidence at protein level	25.71	1.0000	0.9990	9	9	9	11	11	11	     0	     0	     0	13M(15.9949), 4C(57.0214)		
sp|Q99LP6|GRPE1_MOUSE	Q99LP6	GRPE1_MOUSE	Grpel1	217	Mus musculus	GrpE protein homolog 1, mitochondrial	1:Experimental evidence at protein level	38.25	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	8C(57.0214)		
sp|Q99LX0|PARK7_MOUSE	Q99LX0	PARK7_MOUSE	Park7	189	Mus musculus	Parkinson disease protein 7 homolog	1:Experimental evidence at protein level	80.95	1.0000	0.9990	17	1	17	112	1	112	     0	     0	     0	14C(57.0214), 14M(15.9949), 1M(15.9949), 22C(57.0214), 23C(57.0214), 25M(15.9949), 2M(15.9949), 3M(15.9949), 4M(15.9949), 5C(57.0214), 5M(15.9949), 7C(156.1151), 7C(57.0214), 8C(57.0214)		
sp|Q99LY9|NDUS5_MOUSE	Q99LY9	NDUS5_MOUSE	Ndufs5	106	Mus musculus	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	1:Experimental evidence at protein level	50.94	1.0000	0.9990	6	0	6	9	0	9	     0	     0	     0	12C(57.0214), 2C(57.0214), 3M(15.9949), 5C(57.0214), 9C(57.0214)		
sp|Q99M51|NCK1_MOUSE	Q99M51	NCK1_MOUSE	Nck1	377	Mus musculus	Cytoplasmic protein NCK1	1:Experimental evidence at protein level	2.39	1.0000	0.9956	1	0	1	1	0	1	     0	     0	     0	5C(57.0214)		
sp|Q99M71|EPDR1_MOUSE	Q99M71	EPDR1_MOUSE	Epdr1	224	Mus musculus	Mammalian ependymin-related protein 1	1:Experimental evidence at protein level	37.05	1.0000	0.9990	7	2	7	9	2	9	     0	     0	     0	11C(57.0214), 2C(57.0214)		
sp|Q99M87|DNJA3_MOUSE	Q99M87	DNJA3_MOUSE	Dnaja3	480	Mus musculus	DnaJ homolog subfamily A member 3, mitochondrial	1:Experimental evidence at protein level	15.21	1.0000	0.9990	5	0	5	6	0	6	     0	     0	     0	11C(57.0214), 8C(57.0214)		
sp|Q99MN1|SYK_MOUSE	Q99MN1	SYK_MOUSE	Kars1	595	Mus musculus	Lysine--tRNA ligase	1:Experimental evidence at protein level	20.84	1.0000	0.9990	10	0	10	14	0	14	     0	     0	     0	10C(57.0214), 17C(57.0214), 3C(57.0214)		tr|Q8R2P8|Q8R2P8_MOUSE
sp|Q99MN9|PCCB_MOUSE	Q99MN9	PCCB_MOUSE	Pccb	541	Mus musculus	Propionyl-CoA carboxylase beta chain, mitochondrial	1:Experimental evidence at protein level	32.16	1.0000	0.9990	12	0	12	12	0	12	     0	     0	     0	10C(57.0214), 15C(57.0214), 2C(57.0214), 3C(57.0214)		
sp|Q99MQ4|ASPN_MOUSE	Q99MQ4	ASPN_MOUSE	Aspn	373	Mus musculus	Asporin	1:Experimental evidence at protein level	30.03	1.0000	0.9990	11	11	11	14	14	14	     0	     0	     0	4C(57.0214), 7C(57.0214)		
sp|Q99MR8|MCCA_MOUSE	Q99MR8	MCCA_MOUSE	Mccc1	717	Mus musculus	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	1:Experimental evidence at protein level	16.04	1.0000	0.9990	8	6	8	9	7	9	     0	     0	     0	11C(57.0214), 4C(57.0214)		
sp|Q99MR9|PPR3A_MOUSE	Q99MR9	PPR3A_MOUSE	Ppp1r3a	1089	Mus musculus	Protein phosphatase 1 regulatory subunit 3A	1:Experimental evidence at protein level	12.12	1.0000	0.9990	10	10	10	11	11	11	     0	     0	     0	10C(57.0214), 14C(57.0214), 1K(156.1151)		
sp|Q99MZ7|PECR_MOUSE	Q99MZ7	PECR_MOUSE	Pecr	303	Mus musculus	Peroxisomal trans-2-enoyl-CoA reductase	1:Experimental evidence at protein level	2.97	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			tr|Q3UXD9|Q3UXD9_MOUSE
sp|Q99N96|RM01_MOUSE	Q99N96	RM01_MOUSE	Mrpl1	336	Mus musculus	39S ribosomal protein L1, mitochondrial	1:Experimental evidence at protein level	7.14	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|Q99NB8|UBQL4_MOUSE	Q99NB8	UBQL4_MOUSE	Ubqln4	596	Mus musculus	Ubiquilin-4	1:Experimental evidence at protein level	3.86	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|Q99P31|HPBP1_MOUSE	Q99P31	HPBP1_MOUSE	Hspbp1	357	Mus musculus	Hsp70-binding protein 1	1:Experimental evidence at protein level	8.96	1.0000	0.9990	2	0	2	3	0	3	     0	     0	     0	7C(57.0214)		
sp|Q99P72|RTN4_MOUSE	Q99P72	RTN4_MOUSE	Rtn4	1162	Mus musculus	Reticulon-4	1:Experimental evidence at protein level	1.20	1.0000	0.9990	1	0	0	1	0	0	     0	     0	     0			
sp|Q99PR8|HSPB2_MOUSE	Q99PR8	HSPB2_MOUSE	Hspb2	182	Mus musculus	Heat shock protein beta-2	1:Experimental evidence at protein level	64.84	1.0000	0.9990	7	4	7	17	7	17	     0	     0	     0			
sp|Q99PT1|GDIR1_MOUSE	Q99PT1	GDIR1_MOUSE	Arhgdia	204	Mus musculus	Rho GDP-dissociation inhibitor 1	1:Experimental evidence at protein level	54.90	1.0000	0.9990	10	10	10	22	22	22	     0	     0	     0	10M(15.9949), 4M(15.9949), 5C(57.0214)		
sp|Q9CPP6|NDUA5_MOUSE	Q9CPP6	NDUA5_MOUSE	Ndufa5	116	Mus musculus	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	1:Experimental evidence at protein level	64.66	1.0000	0.9990	6	4	6	12	6	12	     0	     0	     0	10C(57.0214)		
sp|Q9CPQ1|COX6C_MOUSE	Q9CPQ1	COX6C_MOUSE	Cox6c	76	Mus musculus	Cytochrome c oxidase subunit 6C	1:Experimental evidence at protein level	53.95	1.0000	0.9990	6	5	6	9	8	9	     0	     0	     0	11M(15.9949), 5M(15.9949)		
sp|Q9CPQ8|ATP5L_MOUSE	Q9CPQ8	ATP5L_MOUSE	Atp5mg	103	Mus musculus	ATP synthase subunit g, mitochondrial	1:Experimental evidence at protein level	41.75	1.0000	0.9990	3	3	3	8	8	8	     0	     0	     0	4M(15.9949)		
sp|Q9CPS6|HINT3_MOUSE	Q9CPS6	HINT3_MOUSE	Hint3	165	Mus musculus	Adenosine 5'-monophosphoramidase HINT3	1:Experimental evidence at protein level	9.09	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0	13C(57.0214), 6C(57.0214)		
sp|Q9CPU0|LGUL_MOUSE	Q9CPU0	LGUL_MOUSE	Glo1	184	Mus musculus	Lactoylglutathione lyase	1:Experimental evidence at protein level	71.74	1.0000	0.9990	12	3	12	35	14	35	     0	     0	     0	16C(57.0214), 6M(15.9949), 8M(15.9949)		
sp|Q9CPU4|MGST3_MOUSE	Q9CPU4	MGST3_MOUSE	Mgst3	153	Mus musculus	Microsomal glutathione S-transferase 3	1:Experimental evidence at protein level	17.65	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
sp|Q9CPV4|GLOD4_MOUSE	Q9CPV4	GLOD4_MOUSE	Glod4	298	Mus musculus	Glyoxalase domain-containing protein 4	1:Experimental evidence at protein level	31.21	1.0000	0.9990	7	0	7	7	0	7	     0	     0	     0	10C(57.0214), 8C(57.0214)		
sp|Q9CPW4|ARPC5_MOUSE	Q9CPW4	ARPC5_MOUSE	Arpc5	151	Mus musculus	Actin-related protein 2/3 complex subunit 5	1:Experimental evidence at protein level	7.95	1.0000	0.9990	1	0	1	1	0	1	     0	     0	     0			
sp|Q9CPY7-2|AMPL_MOUSE	Q9CPY7-2	AMPL_MOUSE	Lap3	488	Mus musculus	Isoform 2 of Cytosol aminopeptidase		34.63	1.0000	0.9990	12	0	12	15	0	15	     0	     0	     0	10C(57.0214), 14C(57.0214), 5C(57.0214), 8C(57.0214)		sp|Q9CPY7|AMPL_MOUSE
sp|Q9CQ19|MYL9_MOUSE	Q9CQ19	MYL9_MOUSE	Myl9	172	Mus musculus	Myosin regulatory light polypeptide 9	1:Experimental evidence at protein level	16.28	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0			
sp|Q9CQ40|RM49_MOUSE	Q9CQ40	RM49_MOUSE	Mrpl49	166	Mus musculus	39S ribosomal protein L49, mitochondrial	1:Experimental evidence at protein level	7.23	1.0000	0.9990	1	1	1	1	1	1	     0	     0	     0			
sp|Q9CQ48|NUDC2_MOUSE	Q9CQ48	NUDC2_MOUSE	Nudcd2	157	Mus musculus	NudC domain-containing protein 2	1:Experimental evidence at protein level	18.47	1.0000	0.9990	2	0	2	2	0	2	     0	     0	     0	6C(57.0214)		
sp|Q9CQ54|NDUC2_MOUSE	Q9CQ54	NDUC2_MOUSE	Ndufc2	120	Mus musculus	NADH dehydrogenase [ubiquinone] 1 subunit C2	1:Experimental evidence at protein level	50.83	1.0000	0.9990	6	2	6	13	7	13	     0	     0	     0	10C(57.0214), 4M(15.9949)		
